"age_group","outcome","est","se",".imp","method"
"80+","Mod+Sev",0.799770778628823,0.0228550915211169,9,"CART"
"30–39","Severe",0.040264381106881,0.00423284093556212,10,"CART"
"40–49","Severe",0.101857073892188,0.00911849922279732,10,"CART"
"50–59","Severe",0.160942990343196,0.0101922925253393,10,"CART"
"60–69","Severe",0.173511712779786,0.0143749504441304,10,"CART"
"70–79","Severe",0.186916218068308,0.0151099313765924,10,"CART"
"80+","Severe",0.18929455009161,0.0224481987431001,10,"CART"
"30–39","Mod+Sev",0.231498706222439,0.0155997928555405,10,"CART"
"40–49","Mod+Sev",0.358192001433616,0.0167604963873142,10,"CART"
"50–59","Mod+Sev",0.481911756526381,0.0192911054426211,10,"CART"
"60–69","Mod+Sev",0.559715891865056,0.0217469822346602,10,"CART"
"70–79","Mod+Sev",0.664485799253081,0.0232024099830763,10,"CART"
"80+","Mod+Sev",0.788733486804414,0.0242329708391374,10,"CART"
"30–39","Severe",0.0399865330145337,0.00401714826824448,1,"PMM"
"40–49","Severe",0.0972437442508436,0.00883432931305275,1,"PMM"
"50–59","Severe",0.145880790604275,0.0101741516378248,1,"PMM"
"60–69","Severe",0.147617712535743,0.0134540212770481,1,"PMM"
"70–79","Severe",0.149815037395346,0.0153138577737174,1,"PMM"
"80+","Severe",0.155761134845283,0.0166724196756113,1,"PMM"
"30–39","Mod+Sev",0.226663772327759,0.0153944414037244,1,"PMM"
"40–49","Mod+Sev",0.359548104914464,0.0172249494991949,1,"PMM"
"50–59","Mod+Sev",0.482759443633748,0.0186009395739386,1,"PMM"
"60–69","Mod+Sev",0.560118615946613,0.0202650406722219,1,"PMM"
"70–79","Mod+Sev",0.669646929398675,0.0237585593975485,1,"PMM"
"80+","Mod+Sev",0.784627927761893,0.026077126112651,1,"PMM"
"30–39","Severe",0.0396998982052144,0.00417929085016924,2,"PMM"
"40–49","Severe",0.0947765506658424,0.00817610714891582,2,"PMM"
"50–59","Severe",0.146439921062889,0.00942777859589991,2,"PMM"
"60–69","Severe",0.166603491949007,0.0156657573048877,2,"PMM"
"70–79","Severe",0.160588487611581,0.0150860940632499,2,"PMM"
"80+","Severe",0.161923861207632,0.02279948760434,2,"PMM"
"30–39","Mod+Sev",0.229542949919782,0.0154637805612598,2,"PMM"
"40–49","Mod+Sev",0.364419070166292,0.0171137471018089,2,"PMM"
"50–59","Mod+Sev",0.482078117466569,0.018876193353,2,"PMM"
"60–69","Mod+Sev",0.557480950285247,0.0208096372601263,2,"PMM"
"70–79","Mod+Sev",0.657913562401011,0.0224768865418526,2,"PMM"
"80+","Mod+Sev",0.783326637969728,0.0260150594146702,2,"PMM"
"30–39","Severe",0.0387380470456196,0.00371287267972186,3,"PMM"
"40–49","Severe",0.0977571292113675,0.00908441303147193,3,"PMM"
"50–59","Severe",0.150594751085308,0.0113132851871034,3,"PMM"
"60–69","Severe",0.156426412474828,0.0140943203110804,3,"PMM"
