age_group,outcome,cart,cart_se,cart_lcl,cart_ucl,pmm,pmm_se,pmm_lcl,pmm_ucl,delta,rel
30–39,Mod+Sev,0.235845246460538,0.0155202409133249,0.205425574270421,0.266264918650654,0.232101470223133,0.0154589567589921,0.201801914975509,0.262401025470758,0.0037437762374050165,1.0161299117743885
30–39,Severe,0.0421062174942259,0.00432940426827954,0.033620585128398,0.0505918498600538,0.038529096894083,0.00412663548904761,0.0304408913355497,0.0466173024526163,0.003577120600142897,1.0928420567441912
40–49,Mod+Sev,0.357929809451573,0.0169756165628162,0.324657600988453,0.391202017914692,0.36090938732233,0.0169804978311204,0.327627611573334,0.394191163071325,-0.002979577870757033,0.9917442494559002
40–49,Severe,0.101829786841957,0.00899576614971888,0.0841980851885081,0.119461488495406,0.0954063203500958,0.00865162159097722,0.0784491420317804,0.112363498668411,0.006423466491861193,1.0673274733612002
50–59,Mod+Sev,0.482748512698056,0.0194636865057428,0.4445996871468,0.520897338249312,0.483921193419622,0.0187110920254283,0.447247453049783,0.520594933789462,-0.0011726807215659552,0.997576711378811
50–59,Severe,0.158184679663475,0.0109054804793919,0.136809937923867,0.179559421403083,0.146206087089114,0.0111118210392274,0.124426917852228,0.167985256326,0.011978592574360986,1.0819295065810763
60–69,Mod+Sev,0.562190682022013,0.0215736991752076,0.519906231638606,0.60447513240542,0.562651941411239,0.0217695394000947,0.519983644187053,0.605320238635425,-4.612593892259209e-4,0.999180204749549
60–69,Severe,0.175725187203974,0.0165853886489232,0.143217825452084,0.208232548955863,0.161795268966556,0.0171852917941562,0.12811209705001,0.195478440883102,0.013929918237418015,1.086095955255017
70–79,Mod+Sev,0.667647147654801,0.0242563688937019,0.620104664623145,0.715189630686457,0.664813895219022,0.0244329756941955,0.616925262858399,0.712702527579645,0.0028332524357790323,1.0042617226507362
70–79,Severe,0.179000546197815,0.0164867857326978,0.146686446161728,0.211314646233903,0.153356349670777,0.0171569650347116,0.119728698202742,0.186984001138812,0.025644196527038005,1.167219659193053
80+,Mod+Sev,0.792294544422534,0.0253055821112839,0.742695603484417,0.84189348536065,0.787062761422077,0.0260207097723093,0.736062170268351,0.838063352575803,0.005231783000457013,1.0066472246647828
80+,Severe,0.195455797598176,0.0250834071378406,0.146292319608008,0.244619275588343,0.162442076800621,0.0227965834469663,0.117760773244567,0.207123380356675,0.03301372079755499,1.2032338015357655
